country_code,region_name,iata,airport
AR,Santa Cruz,RGL,Piloto Civil Norberto Fernandez International Airport
AR,Santa Cruz,RYO,Rio Turbio Airport
AR,Santa Cruz,RZA,Santa Cruz Airport (Argentina)
AR,Santa Cruz,ULA,Capitan Jose Daniel Vazquez Airport
AR,Santa Fe,CRR,Ceres Airport
AR,Santa Fe,NCJ,Sunchales Airport
AR,Santa Fe,RAF,Rafaela Airport
AR,Santa Fe,RCQ,Reconquista Airport
AR,Santa Fe,ROS,Rosario - Islas Malvinas International Airport
AR,Santa Fe,SFN,Sauce Viejo Airport
AR,Santiago del Estero,RHD,Termas de Rio Hondo Airport
AR,Santiago del Estero,SDE,Vicecomodoro Angel de la Paz Aragones Airport
AR,Tierra del Fuego,RGA,Hermes Quijada International Airport
AR,Tierra del Fuego,USH,Ushuaia - Malvinas Argentinas International Airport
AR,Tucuman,TUC,Teniente General Benjamin Matienzo International Airport
AS,Eastern District,OFU,Ofu Airport
AS,Eastern District,PPG,Pago Pago International Airport
AS,Eastern District,TAV,Tau Airport
AT,Karnten,KLU,Klagenfurt Airport
AT,Niederosterreich,VIE,Vienna International Airport
AT,Oberosterreich,LNZ,Linz Airport (Blue Danube Airport)
AT,Salzburg,SZG,Salzburg Airport
AT,Steiermark,GRZ,Graz Airport
AT,Tirol,INN,Innsbruck Airport (Kranebitten Airport)
AT,Vorarlberg,HOH,Hohenems-Dornbirn Airport
AU,Australian Capital Territory,CBR,Canberra Airport
AU,New South Wales,ABX,Albury Airport
AU,New South Wales,ARM,Armidale Airport
AU,New South Wales,BEO,Lake Macquarie Airport (Belmont Airport)
AU,New South Wales,BHQ,Broken Hill Airport
AU,New South Wales,BHS,Bathurst Airport
AU,New South Wales,BNK,Ballina Byron Gateway Airport
AU,New South Wales,BRK,Bourke Airport
AU,New South Wales,BWQ,Brewarrina Airport
AU,New South Wales,BWU,Bankstown Airport
AU,New South Wales,BZD,Balranald Airport
AU,New South Wales,CAZ,Cobar Airport
AU,New South Wales,CBX,Condobolin Airport
AU,New South Wales,CDU,Camden Airport
AU,New South Wales,CES,Cessnock Airport
AU,New South Wales,CFS,Coffs Harbour Airport
AU,New South Wales,CLH,Coolah Airport
AU,New South Wales,CMD,Cootamundra Airport
AU,New South Wales,CNB,Coonamble Airport
AU,New South Wales,COJ,Coonabarabran Airport
AU,New South Wales,CRB,Collarenebri Airport
AU,New South Wales,CSI,Casino Airport
AU,New South Wales,CUG,Cudal Airport
AU,New South Wales,CWT,Cowra Airport
AU,New South Wales,CWW,Corowa Airport
AU,New South Wales,DBO,Dubbo City Regional Airport
AU,New South Wales,DGE,Mudgee Airport
AU,New South Wales,DNQ,Deniliquin Airport
AU,New South Wales,EVH,Evans Head Memorial Aerodrome
AU,New South Wales,FLY,Finley Airport
AU,New South Wales,FOT,Forster (Wallis Island) Airport
AU,New South Wales,FRB,Forbes Airport
AU,New South Wales,GFE,Grenfell Airport
AU,New South Wales,GFF,Griffith Airport
AU,New South Wales,GFN,Clarence Valley Regional Airport
